,date,home_team,away_team,home_shots,away_shots,odds_h,odds_d,odds_a,league,season,prob_h,prob_d,prob_a,home_adj_shots,home_adj_shots_conc,away_adj_shots,away_adj_shots_conc
7996,2023-10-21,Torino,Inter,7.0,14.0,5.5,3.83,1.79,serie_a,2324,0.18153244875641128,0.2606862841149509,0.557781267128638,11.541243387314648,10.6,14.380987037153133,9.8
7997,2023-10-21,Sassuolo,Lazio,9.0,18.0,2.78,3.85,2.58,serie_a,2324,0.35719422908186016,0.2579220667136548,0.3848837042044849,16.72894653769125,14.0,11.446669020899451,13.2
7998,2023-10-22,Roma,Monza,21.0,11.0,1.78,3.99,5.25,serie_a,2324,0.560172965687651,0.24990172404110741,0.18992531027124163,11.118344621919277,10.6,15.930898156663398,9.2
7999,2023-10-22,Bologna,Frosinone,12.0,12.0,1.79,3.95,5.1,serie_a,2324,0.5542791894234341,0.251179683308341,0.19454112726822495,10.073019693820276,11.8,10.822022404349815,16.6
8000,2023-10-22,Salernitana,Cagliari,13.0,13.0,2.38,3.31,3.5,serie_a,2324,0.41683457586137423,0.29971791255289143,0.28344751158573445,12.672359131085571,13.0,12.952340587562606,12.6
8001,2023-10-22,Atalanta,Genoa,13.0,15.0,1.58,4.32,7.0,serie_a,2324,0.6283558023172698,0.2298153165882607,0.14182888109446948,11.739205112954794,10.8,9.879605541402714,13.2
8002,2023-10-22,Milan,Juventus,7.0,14.0,2.41,3.4,3.45,serie_a,2324,0.41539033588894597,0.2944384439683411,0.290171220142713,12.36161407037045,12.0,13.151852117672684,12.2
8003,2023-10-23,Udinese,Lecce,12.0,12.0,2.24,3.5,3.83,serie_a,2324,0.4494672111909121,0.28765901516218373,0.2628737736469042,16.167824270651113,13.0,9.525847041400024,15.2
8004,2023-10-23,Fiorentina,Empoli,19.0,7.0,1.48,5.0,8.0,serie_a,2324,0.675219446320054,0.19986495611073601,0.12491559756921,14.255029894311594,12.8,14.290377263693077,16.6
8005,2023-10-27,Genoa,Salernitana,8.0,7.0,1.83,3.85,5.3,serie_a,2324,0.5492671502981197,0.2610802298819634,0.18965261981991685,10.627193964925718,13.4,12.126167628219777,13.4
